tad_id;chromosome;start_position;end_position;source_method;cell_type;calling_method;resolution;source_file;database_name
HiC_GM12878_DI_10kb_chr1_740000_1230000;chr1;740000;1230000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_1260000_1680000;chr1;1260000;1680000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_1710000_1850000;chr1;1710000;1850000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_1850000_2320000;chr1;1850000;2320000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_2320000_2610000;chr1;2320000;2610000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_2610000_2680000;chr1;2610000;2680000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_2680000_3720000;chr1;2680000;3720000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_3820000_3990000;chr1;3820000;3990000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_3990000_5970000;chr1;3990000;5970000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_6050000_6500000;chr1;6050000;6500000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_6550000_7990000;chr1;6550000;7990000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_8010000_8420000;chr1;8010000;8420000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_8440000_8940000;chr1;8440000;8940000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_8940000_9260000;chr1;8940000;9260000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_9300000_9560000;chr1;9300000;9560000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_9650000_9930000;chr1;9650000;9930000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_9940000_10490000;chr1;9940000;10490000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_10550000_11030000;chr1;10550000;11030000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_11080000_12150000;chr1;11080000;12150000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_12160000_12290000;chr1;12160000;12290000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_12310000_13770000;chr1;12310000;13770000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
HiC_GM12878_DI_10kb_chr1_13770000_15430000;chr1;13770000;15430000;HiC;GM12878;DI;10kb;HiC_GM12878_DI_10kb.txt;TADKB
