enhancer_id,chromosome,start_position,end_position,enhancer_type,tissue_context,disease_name,target_gene,transcription_factor
E_01_0001,chr2,28389994,28391994,Enhancer,Cervix | cervical-derived cell line 20861,HPV positive tumors,,FOSL2
E_01_0002,chr2,207527779,207529779,Enhancer,Cervix | HeLa cell,cervical cancer,,CREB1
E_01_0003,chr7,148804764,148806764,Enhancer,Kidney | epithelial cell,kidney disease,,EZH2
E_01_0004,chr7,148805135,148807135,Enhancer,Oral cavity | oral squamous cell carcinoma cell,oral squamous cell carcinoma,,EZH2
E_01_0005,chr12,102954386,102956386,Enhancer,Bone marrow and lymphatic | chronic lymphocytic leukemia cell,chronic lymphocytic leukemia,,ASCL1
E_01_0006,chr6,113930322,113932322,Enhancer,Connective | macrophage,Sepsis,HDAC2,TNF
E_01_0007,chr5,173229371,173231371,Enhancer,Vascular | smooth muscle cell of the pulmonary artery,scleroderma associated pulmonary hypertensio,,NKX2-5
E_01_0007,chr5,173229371,173231371,Enhancer,Vascular | smooth muscle cell of the pulmonary artery,scleroderma associated pulmonary hypertensio,,TEAD1
E_01_0008,chr7,55016139,55018139,Enhancer,Cervix | CaSki cell(human cervical cancer cell line),human papillomaviruses,,EGFR
E_01_0008,chr7,55016139,55018139,Enhancer,Cervix | CaSki cell(human cervical cancer cell line),human papillomaviruses,,KDM5C
E_01_0009,chr8,144288666,144290666,Enhancer,Gastric cancer | gastric cancer cell,gastric cancer,MORC2,HSF1
E_01_0009,chr8,144288666,144290666,Enhancer,Gastric cancer | gastric cancer cell,gastric cancer,MORC2,EZH2
E_01_0010,chr16,28929378,28931378,Enhancer,Lymphoid tissue bone marrow | B cell,Epstein-Barr virus,CD19,CD86
E_01_0011,chr1,94526560,94528560,Enhancer,Osteosarcoma | osteosarcoma cell,Osteosarcoma,F3,
E_01_0012,chr10,112947442,112949442,Enhancer,Liver | hepatocyte,type 2 diabetes,,TCF7L2
E_01_0013,chr7,148804434,148806434,Enhancer,Lymphoid | histiocytic and dendritic cell neoplasm cell,histiocytic and dendritic cell neoplasms,,EZH2
E_01_0014,chr5,56096484,56098484,Enhancer,Lymphoid | peripheral blood mononuclear cell,multiple sclerosis,ANKRD55,
E_01_0015,chr19,10958350,10960350,Enhancer,Tumor | embryonic stem cell,Tumor,,SMARCA4
E_01_0016,chr9,81580914,81582914,Enhancer,Brain | glioblastoma-initiating cells,Glioblastoma,,TLE1
E_01_0017,chr12,54030827,54032827,Enhancer,Somatic | somatic cell,Tumor,,HOXC5
E_01_0018,chr19,19143072,19145072,Enhancer,Lymphoid | B cell,Lymphomas,MEF2B,
E_01_0019,chr17,43750876,43752876,Enhancer,Bone | Germinal center B-cells,osteoporosis,SOST,CTCF
E_01_0020,chr6,151654024,151656024,Enhancer,Bone | osteocyte,osteoporosis,,ESR1
E_01_0021,chr11,68036369,68038369,Enhancer,HCC | HCC cell lines,hepatocellular carcinoma,TCIRG1,
E_01_0022,chr15,67061032,67063032,Enhancer,Thyroid | thyroid cancer cell lines,papillary thyroid carcinoma,SPRY4,SMAD3
E_01_0023,chrX,129537551,129539551,Enhancer,Kidney | COS7 cells,Lowe syndrome and Dent-2 disease,OCRL,
E_01_0024,chr7,148804388,148806388,Enhancer,Dental pulp | dental pulp cell,Oral Diseases,,EZH2
E_01_0025,chr19,33297489,33299489,Enhancer,Adrenal | cortical cell of adrenal gland,adrenocortical adenoma,,CEBPA
E_01_0026,chr7,148804229,148806229,Enhancer,Melanoma | melanoma cells,Melanoma,,EZH2
E_01_0027,chr7,148804179,148806179,Enhancer,Kidney | nephrocyte,renal cell carcinoma,,EZH2
E_01_0028,chr7,55016411,55018411,Enhancer,Lung | PC9 cells,Tumor,,EGFR
E_01_0029,chr4,108045000,108047000,Enhancer,Liver | Hepatocytes,Liver disease,,LEF1
E_01_0030,chr18,27930050,27932050,Enhancer,CRPC | castration-resistant prostate cancer cell,castration-resistant prostate cancer,,CDH2
E_01_0031,chr7,148804663,148806663,Enhancer,PCALCL | Primary cutaneous anaplastic T cell lymphoma cell,cutaneous CD30+ lymphoproliferative disease,,EZH2
E_01_0033,chr7,148804801,148806801,Enhancer,Bladder | human bladder epithelial cell line,bladder cancer,,EZH2
E_01_0034,chr6,135178878,135180878,Enhancer,Hematopoietic | HUDEP-2 cell,sickle cell disease and β-thalassemia,MYB,
E_01_0034,chr6,135178878,135180878,Enhancer,Hematopoietic | HUDEP-2 cell,sickle cell disease and β-thalassemia,HBS1L,
E_01_0035,chr7,148804312,148806312,Enhancer,Breast | breast cancer cell,breast cancer,,EZH2
E_01_0036,chr12,114350941,114352941,Enhancer,Lymphoid | T cell,,,TBX5
E_01_0037,chr7,148804952,148806952,Enhancer,,,,EZH2
E_01_0038,chr10,68557509,68559509,Enhancer,Tumor | transformed cell,iAs-mediated carcinogenesis,TET2,TET1
E_01_0038,chr10,68557509,68559509,Enhancer,Tumor | transformed cell,iAs-mediated carcinogenesis,TET2,CTCF
E_01_0039,chr16,86507790,86509790,Enhancer,Gastrointestinal tract | gastrointestinal stromal tumor cell,gastrointestinal stromal tumor,,FOXF1
E_01_0039,chr16,86507790,86509790,Enhancer,Gastrointestinal tract | gastrointestinal stromal tumor cell,gastrointestinal stromal tumor,,ETV1
E_01_0039,chr16,86507790,86509790,Enhancer,Gastrointestinal tract | gastrointestinal stromal tumor cell,gastrointestinal stromal tumor,,KIT
E_01_0040,chr1,11782707,11784707,Enhancer,Thymus | B cell,thymic lymphoid hyperplasia,MTHFR,
E_01_0040,chr1,11782707,11784707,Enhancer,Thymus | B cell,thymic lymphoid hyperplasia,MTR,
E_01_0040,chr1,11782707,11784707,Enhancer,Thymus | B cell,thymic lymphoid hyperplasia,TYMS,
E_01_0040,chr1,11782707,11784707,Enhancer,Thymus | B cell,thymic lymphoid hyperplasia,MTRR,
E_01_0041,chr12,56115695,56117695,Enhancer,Lung CF | bronchial epithelial cell,Cystic Fibrosis,ESYT1,ANO1
E_01_0041,chr12,56115695,56117695,Enhancer,Lung CF | bronchial epithelial cell,Cystic Fibrosis,COPB1,ANO1
E_01_0042,chr17,76133482,76135482,Enhancer,Bladder cancer | bladder cancer cell,bladder cancer,,FOXJ1
E_01_0043,chr15,99562705,99564705,Enhancer,Placental | cytotrophoblast cell lines,placenta-related pregnancy disorders,MEF2B,MEF2A
E_01_0043,chr15,99562705,99564705,Enhancer,Placental | cytotrophoblast cell lines,placenta-related pregnancy disorders,MEF2B,MEF2C
E_01_0043,chr15,99562705,99564705,Enhancer,Placental | cytotrophoblast cell lines,placenta-related pregnancy disorders,MEF2D,MEF2A
E_01_0043,chr15,99562705,99564705,Enhancer,Placental | cytotrophoblast cell lines,placenta-related pregnancy disorders,MEF2D,MEF2C
E_01_0044,chr7,148804589,148806589,Enhancer,Liver | Myofibroblast,hepatic fibrosis,,EZH2
E_01_0045,chr7,148804445,148806445,Enhancer,Breast cancer | breast cancer cell,breast cancer,,EZH2
E_01_0046,chr17,19492823,19494823,Enhancer,Liver | HepG2 cell,,SLC47A1,
E_01_0047,chr16,67559364,67561364,Enhancer,Tumor | cancer cell,Tumor,MSMP,CTCF
E_01_0048,chr7,148804334,148806334,Enhancer,Lung,Pulmonary Fibrosis,,EZH2
E_01_0049,chr12,32787839,32789839,Enhancer,Colon | colon cancer-associated fibroblast,colon cancer,PKP2,
E_01_0050,chr1,47213269,47215269,Enhancer,Haematopoietic | hematopoietic stem cell,,,TAL1
E_01_0051,chr7,148804688,148806688,Enhancer,Soft | tumor cell,urothelial carcinoma,SMARCB1,EZH2
E_01_0052,chr17,61449600,61451600,Enhancer,lung fibroblasts cell,pathogenesis of respiratory diseases,,TBX4
E_01_0053,chr7,148804966,148806966,Enhancer,Liver | Myeloid-derived suppressor cell,hepatocellular carcinoma,,EZH2
E_01_0054,chr7,148804490,148806490,Enhancer,CRC | colorectal cancer (CRC) cell line,colorectal cancer,,EZH2
E_01_0055,chr7,148804797,148806797,Enhancer,Tumor | breast cancer cell,breast cancer,,EZH2
E_01_0056,chr10,67881952,67883952,Enhancer,HeLa cell,,,SIRT1
E_01_0057,chr19,35742614,35744614,Enhancer,keratinocyte cell,Dowling-Degos disease,PSENEN,
E_01_0058,chr5,88714680,88716680,Enhancer,Heart | HeLa cell,dilated cardiomyopathy,,MEF2C
E_01_0059,chr7,148804307,148806307,Enhancer,Tumor | tumor cell,gliomas,,EZH2
E_01_0060,chr7,148804693,148806693,Enhancer,Tumor | cancer cell,Tumor,,EZH2
E_01_0061,chr16,81236,83236,Enhancer,erythroid cell,,NPRL3,
E_01_0062,chr7,148804688,148806688,Enhancer,CCA | Cholangiocarcinoma Cell,cholangiocarcinoma,,EZH2
E_01_0063,chr7,148804611,148806611,Enhancer,LA | lung adenocarcinoma (LA) cell,lung adenocarcinoma,,EZH2
E_01_0064,chr7,148804483,148806483,Enhancer,Laryngeal carcinoma | laryngeal carcinoma cell,laryngeal carcinoma,,EZH2
E_01_0065,chr12,57092763,57094763,Enhancer,macrophage,,,STAT6
E_01_0066,chr7,148804454,148806454,Enhancer,,,SET,EZH2
E_01_0066,chr7,148804454,148806454,Enhancer,,,AEBP2,EZH2
E_01_0067,chr7,148804258,148806258,Enhancer,myocyte,Rhabdomyosarcoma,,EZH2
E_01_0068,chr7,148804593,148806593,Enhancer,Ectopic endometrial | endothelial cell,Ovarian endometrioma (OMA) and deep infiltrating endometriosis (DIE),,EZH2
E_01_0069,chr7,148804320,148806320,Enhancer,Cervical epithelial | CC cell line,cervical cancer,,EZH2
E_01_0070,chr7,148804493,148806493,Enhancer,Tumor | Cancer Stem Cell,Esophageal Squamous Cell Carcinoma,,EZH2
E_01_0071,chr5,179729425,179731425,Enhancer,Tumor | tumor cell,esophageal squamous cell carcinoma,MAML1,
E_01_0071,chr5,179729425,179731425,Enhancer,Tumor | tumor cell,esophageal squamous cell carcinoma,MEIS1,
E_01_0072,chr13,27958465,27960465,Enhancer,oesophageal squamous cell,Esophageal Diseases,,CDX2
E_01_0073,chr4,108044503,108046503,Enhancer,Soft,desmoid-type fibromatosis,,LEF1
E_01_0074,chr7,44101517,44103517,Enhancer,Hippocampal | smooth muscle cell line,Alzheimer’s disease,AEBP1,
E_01_0075,chr7,87500277,87502277,Enhancer,Liver | Hep G2 cell,Neutropenia,,ABCB1
E_01_0076,chr2,43219398,43221398,Enhancer,Non-malignant oesophagus | squamous cell line,Oesophageal squamous cell carcinoma (OScc) and adenocarcinoma (Oac),ZFP36L2,
E_01_0077,chr1,118880199,118882199,Enhancer,bone marrow | cementoblast,Osteoporosis,,TBX15
E_01_0078,chr1,8001716,8003716,Enhancer,lung | IMR-90 cell,psoriasis,ERRFI1,
E_01_0079,chr7,148804333,148806333,Enhancer,kidney | HEK293 cell,,,EZH2
E_01_0080,chr10,52311442,52313442,Enhancer,"Bone, mesenchymal | osteogenitorcell,cementoblast，SaOS2 cell",Osteoporosis,DKK1,
